name,goal,period,foot
A. Erokhin,False,E1,head/body
A. Kramarić,False,E2,right
A. Kramarić,False,E1,left
A. Kramarić,False,E2,right
A. Kramarić,False,E1,left
C. Bacca,False,E1,head/body
D. Kuzyaev,False,E2,right
D. Rose,False,E2,left
D. Sánchez,False,E1,head/body
D. Vida,True,E1,head/body
Daniel Carvajal,False,E2,left
E. Dier,False,E2,head/body
E. Dier,False,E1,right
I. Perišić,False,E2,left
Iago Aspas,False,E1,left
Iniesta,False,E2,left
J. Lingard,False,E2,left
J. Stones,False,E1,head/body
J. Vardy,False,E2,right
Jordi Alba,False,E1,left
Koke,False,E1,right
L. Modrić,False,E2,right
L. Modrić,False,E2,right
L. Schöne,False,E1,right
L. Schöne,False,E1,right
M. Brozović,False,E2,right
M. Brozović,False,E2,left
M. Kovačić,False,E2,right
M. Mandžukić,False,E1,right
M. Mandžukić,True,E2,left
Marco Asensio,False,E1,left
Mário Fernandes,True,E2,head/body
N. Jørgensen,False,E2,right
P. Sisto,False,E2,right
Piqué,False,E2,left
Piqué,False,E1,head/body
R. Falcao,False,E1,head/body
R. Zobnin,False,E2,right
Rodrigo,False,E2,left
Rodrigo,False,E2,right
Rodrigo,False,E2,left
T. Delaney,False,E1,left
